ISO,Country,Region,Both sexes,Year
AFG,Afghanistan,Eastern Mediterranean,23,2018
ALB,Albania,Europe,26.8,2018
DZA,Algeria,Africa,25.6,2018
AND,Andorra,Europe,27,2018
AGO,Angola,Africa,23,2018
ATG,Antigua and Barbuda,Americas,26.8,2018
ARG,Argentina,Americas,27.8,2018
ARM,Armenia,Europe,26.5,2018
AUS,Australia,Western Pacific,27.4,2018
AUT,Austria,Europe,26,2018
AZE,Azerbaijan,Europe,27,2018
BHS,Bahamas,Americas,28.1,2018
BHR,Bahrain,Eastern Mediterranean,25,2018
BGD,Bangladesh,South-East Asia,21.7,2018
BRB,Barbados,Americas,28,2018
BLR,Belarus,Europe,27.2,2018
BEL,Belgium,Europe,26.7,2018
BLZ,Belize,Americas,28.9,2018
BEN,Benin,Africa,23.4,2018
BTN,Bhutan,South-East Asia,23.9,2018
BOL,Bolivia (Plurinational State of),Americas,26.3,2018
BIH,Bosnia and Herzegovina,Europe,26.2,2018
BWA,Botswana,Africa,23.8,2018
BRA,Brazil,Americas,26.6,2018
BRN,Brunei Darussalam,Western Pacific,27.4,2018
BGR,Bulgaria,Europe,27.1,2018
BFA,Burkina Faso,Africa,22.2,2018
BDI,Burundi,Africa,21.7,2018
CPV,Cabo Verde,Africa,24.3,2018
KHM,Cambodia,Western Pacific,22.1,2018
CMR,Cameroon,Africa,24.1,2018
CAN,Canada,Americas,27.3,2018
CAF,Central African Republic,Africa,22.6,2018
TCD,Chad,Africa,21.5,2018
CHL,Chile,Americas,28.1,2018
CHN,China,Western Pacific,24,2018
COL,Colombia,Americas,26.2,2018
COM,Comoros,Africa,24.4,2018
COG,Congo,Africa,23,2018
COK,Cook Islands,Western Pacific,32.9,2018
CRI,Costa Rica,Americas,27.3,2018
HRV,Croatia,Europe,28.1,2018
CUB,Cuba,Americas,25.9,2018
CYP,Cyprus,Europe,27.1,2018
CSHH,Czechia,Europe,27.9,2018
CIV,Côte d'Ivoire,Africa,23.6,2018
PRK,Democratic People's Republic of Korea,South-East Asia,24.2,2018
