Entity,Year,肥胖死亡占比,每10万中因肥胖而死亡的人数,Region
Afghanistan,1991,3.87,105.9817312,Eastern Mediterranean
Albania,1991,7.31,91.9179966,Europe
Algeria,1991,9.53,153.7579561,Africa
Andorra,1991,7.64,38.82777318,Europe
Angola,1991,0.71,32.54960676,Africa
Antigua and Barbuda,1991,11.67,85.64983528,Americas
Argentina,1991,8.4,65.18990329,Americas
Armenia,1991,8.75,86.0169878,Europe
Australia,1991,10.24,61.0012772,Western Pacific
Austria,1991,9,100.2443081,Europe
Azerbaijan,1991,8.93,117.2718586,Europe
Bahamas,1991,13.06,192.7294639,Americas
Bahrain,1991,17.54,10.10472572,Eastern Mediterranean
Bangladesh,1991,0.4,98.64189104,South-East Asia
Barbados,1991,12.86,105.7837167,Americas
Belarus,1991,12.23,51.9120446,Europe
Belgium,1991,8,83.87929797,Europe
Belize,1991,8.35,39.94506563,Americas
Benin,1991,1.3,117.591951,Africa
Bhutan,1991,1.65,59.18548315,South-East Asia
Bolivia,1991,3.16,77.76930053,Americas
Bosnia and Herzegovina,1991,10.35,70.43590538,Europe
Botswana,1991,4.21,74.70279688,Africa
Brazil,1991,7.33,62.63506042,Americas
Brunei,1991,6.08,137.1594762,Western Pacific
Bulgaria,1991,16.34,28.63882015,Europe
Burkina Faso,1991,0.81,40.9837325,Africa
Burundi,1991,1.03,25.12057859,Africa
Cambodia,1991,1.09,78.64301291,Western Pacific
Cameroon,1991,2.8,57.10046328,Africa
Canada,1991,9.96,30.95990673,Americas
Cape Verde,1991,2.9,78.88874892,Africa
Central African Republic,1991,1.14,44.16704324,Africa
Chad,1991,0.58,52.96356561,Africa
Chile,1991,8.3,20.78307902,Americas
China,1991,2.96,62.04812653,Western Pacific
Colombia,1991,7.16,29.12654632,Americas
Comoros,1991,2.2,72.08177494,Africa
Congo,1991,3.25,51.80335653,Africa
Costa Rica,1991,8.57,90.17636077,Americas
Croatia,1991,11.64,58.13469996,Americas
Cuba,1991,9.3,101.2053893,Europe
Cyprus,1991,8.39,64.99851249,Europe
Czech Republic,1991,13.78,54.15999924,Africa
Democratic Republic of Congo,1991,1.65,125.4952402,Africa
Denmark,1991,7.71,55.04546477,Europe
Djibouti,1991,1.19,54.46278712,Eastern Mediterranean
Dominica,1991,10.53,30.68046724,Americas
Dominican Republic,1991,5.8,84.45553404,Americas
Ecuador,1991,7.23,67.00163209,Americas
Egypt,1991,10.45,156.9523561,Eastern Mediterranean
El Salvador,1991,6,62.38762965,Americas
Equatorial Guinea,1991,1.2,65.63267884,Africa
Eritrea,1991,0.67,47.14507133,Africa
Estonia,1991,12.69,39.8872151,Europe
Ethiopia,1991,0.62,122.169941,Africa
Fiji,1991,16.56,65.94313488,Western Pacific
Finland,1991,9.67,38.96622163,Europe
France,1991,6.48,76.36167623,Europe
Gabon,1991,4.26,48.21118071,Africa
Gambia,1991,1.89,147.5086895,Africa
Georgia,1991,16.76,70.86895751,Europe
Germany,1991,10.36,43.05156536,Europe
Ghana,1991,2.01,57.14647579,Africa
Greece,1991,9.94,81.8739711,Europe
Grenada,1991,9.27,123.8067109,Americas
Guatemala,1991,2.36,36.04815131,Americas
Guinea,1991,1.12,55.42202563,Africa
Guinea-Bissau,1991,1.35,125.7743055,Africa
Guyana,1991,9.78,82.58655855,Americas
Haiti,1991,3.43,61.09562995,Americas
Honduras,1991,4.18,51.37059773,Americas
Hungary,1991,14.61,143.9737172,Europe
Iceland,1991,9.6,55.85013895,Europe
India,1991,1.12,18.96763029,South-East Asia
Indonesia,1991,2.5,30.58003112,South-East Asia
Iran,1991,7.75,83.87192083,Eastern Mediterranean
Iraq,1991,11.91,214.8137427,Eastern Mediterranean
Ireland,1991,9.14,67.97736624,Europe
Israel,1991,9.83,61.6733197,Europe
Italy,1991,9.12,54.49597713,Europe
Jamaica,1991,10.43,75.22117555,Americas
Japan,1991,4.33,21.27618017,Western Pacific
Jordan,1991,12.24,142.2878264,Eastern Mediterranean
Kazakhstan,1991,14.07,150.4035869,Europe
Kenya,1991,1.3,30.11449724,Africa
Kiribati,1991,9.95,177.7012292,Western Pacific
Kuwait,1991,16.28,96.09365379,Eastern Mediterranean
Kyrgyzstan,1991,8.19,101.3194993,Europe
Laos,1991,1.7,44.72523482,Western Pacific
Latvia,1991,13.29,125.0678937,Europe
Lebanon,1991,13.71,128.4333237,Eastern Mediterranean
Lesotho,1991,3.84,69.20802734,Africa
